AL1 1AA,AL1  1AA,AL1 1AA,51.749084,-0.341337
AL1 1AB,AL1  1AB,AL1 1AB,51.747828,-0.301865
AL1 1AD,AL1  1AD,AL1 1AD,51.747828,-0.301865
AL1 1AE,AL1  1AE,AL1 1AE,51.747828,-0.301865
AL1 1AF,AL1  1AF,AL1 1AF,51.749084,-0.341337
AL1 1AG,AL1  1AG,AL1 1AG,51.74529,-0.328628
AL1 1AH,AL1  1AH,AL1 1AH,51.744888,-0.327556
AL1 1AJ,AL1  1AJ,AL1 1AJ,51.744498,-0.328599
AL1 1AL,AL1  1AL,AL1 1AL,51.747828,-0.301865
AL1 1AN,AL1  1AN,AL1 1AN,51.744484,-0.329498
AL1 1AP,AL1  1AP,AL1 1AP,51.744484,-0.329498
AL1 1AQ,AL1  1AQ,AL1 1AQ,51.743571,-0.325418
AL1 1AR,AL1  1AR,AL1 1AR,51.739727,-0.317492
AL1 1AS,AL1  1AS,AL1 1AS,51.749073,-0.335471
AL1 1AT,AL1  1AT,AL1 1AT,51.742011,-0.319421
AL1 1AU,AL1  1AU,AL1 1AU,51.741475,-0.319273
AL1 1AW,AL1  1AW,AL1 1AW,51.741787,-0.322216
AL1 1AZ,AL1  1AZ,AL1 1AZ,51.735008,-0.317668
AL1 1BA,AL1  1BA,AL1 1BA,51.747828,-0.301865
AL1 1BB,AL1  1BB,AL1 1BB,51.749963,-0.339856
AL1 1BE,AL1  1BE,AL1 1BE,51.748165,-0.339922
AL1 1BF,AL1  1BF,AL1 1BF,51.746368,-0.339988
AL1 1BH,AL1  1BH,AL1 1BH,51.746852,-0.338
AL1 1BT,AL1  1BT,AL1 1BT,51.749767,-0.340646
AL1 1BU,AL1  1BU,AL1 1BU,51.749723,-0.340691
AL1 1BX,AL1  1BX,AL1 1BX,51.749086,-0.34101
AL1 1BY,AL1  1BY,AL1 1BY,51.749861,-0.34157
AL1 1BZ,AL1  1BZ,AL1 1BZ,51.750392,-0.340319
AL1 1DA,AL1  1DA,AL1 1DA,51.749983,-0.341304
AL1 1DB,AL1  1DB,AL1 1DB,51.747828,-0.301865
AL1 1DD,AL1  1DD,AL1 1DD,51.750304,-0.340452
AL1 1DE,AL1  1DE,AL1 1DE,51.749945,-0.340524
AL1 1DF,AL1  1DF,AL1 1DF,51.744484,-0.329498
AL1 1DG,AL1  1DG,AL1 1DG,51.747809,-0.343534
AL1 1DH,AL1  1DH,AL1 1DH,51.747564,-0.341943
AL1 1DJ,AL1  1DJ,AL1 1DJ,51.749983,-0.341304
AL1 1DL,AL1  1DL,AL1 1DL,51.749084,-0.341337
AL1 1DN,AL1  1DN,AL1 1DN,51.740832,-0.330052
AL1 1DQ,AL1  1DQ,AL1 1DQ,51.747408,-0.34234
AL1 1DR,AL1  1DR,AL1 1DR,51.744484,-0.329498
AL1 1DS,AL1  1DS,AL1 1DS,51.732276,-0.318601
AL1 1DT,AL1  1DT,AL1 1DT,51.750047,-0.3401
AL1 1DU,AL1  1DU,AL1 1DU,51.731178,-0.31584
AL1 1DW,AL1  1DW,AL1 1DW,51.749305,-0.341706
AL1 1DX,AL1  1DX,AL1 1DX,51.731715,-0.301875
AL1 1DY,AL1  1DY,AL1 1DY,51.744484,-0.329498
AL1 1DZ,AL1  1DZ,AL1 1DZ,51.731467,-0.30465
AL1 1EA,AL1  1EA,AL1 1EA,51.731809,-0.306505
AL1 1EB,AL1  1EB,AL1 1EB,51.733302,-0.307811
AL1 1ED,AL1  1ED,AL1 1ED,51.732433,-0.30864
AL1 1EE,AL1  1EE,AL1 1EE,51.732086,-0.308305
AL1 1EF,AL1  1EF,AL1 1EF,51.730733,-0.308616
AL1 1EG,AL1  1EG,AL1 1EG,51.730613,-0.308433
AL1 1EP,AL1  1EP,AL1 1EP,51.749983,-0.341304
AL1 1EQ,AL1  1EQ,AL1 1EQ,51.731212,-0.309409
AL1 1ER,AL1  1ER,AL1 1ER,51.750389,-0.339479
AL1 1ES,AL1  1ES,AL1 1ES,51.749963,-0.339856
AL1 1ET,AL1  1ET,AL1 1ET,51.750374,-0.339697
AL1 1EU,AL1  1EU,AL1 1EU,51.750251,-0.339904
